,CN A,CN B,CN C,CN D,CN E,CN F,CN G,CN H,AC 1,AC 2,AC 3,AC 4,AC 5,AC 6,AC 7,AC 8
2:55,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Class Coordinator,Site-office
3:00,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Class Coordinator,Site-office
3:05,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Class Coordinator,Site-office
3:10,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Class Coordinator,Site-office
3:15,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Class Coordinator,Site-office
3:20,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Class Coordinator,Site-office
3:25,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Class Coordinator,Site-office
3:30,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
3:35,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
3:40,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
3:45,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
3:50,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
3:55,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
4:00,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
4:05,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
4:10,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
4:15,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
4:20,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
4:25,,Time-off,Flex Time Support,,,Flex Time Support,,Time-off,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Time-off,Site-office
4:30,,,Flex Time Support,,,Flex Time Support,Dinner Support,,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Site-office,Dinner Coordinator
4:35,,,Flex Time Support,,,Flex Time Support,Dinner Support,,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Site-office,Dinner Coordinator
4:40,,,Flex Time Support,,,Flex Time Support,Dinner Support,,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Site-office,Dinner Coordinator
4:45,,,Flex Time Support,,,Flex Time Support,Dinner Support,,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Site-office,Dinner Coordinator
4:50,,,Flex Time Support,,,Flex Time Support,Dinner Support,,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Site-office,Dinner Coordinator
4:55,,,Flex Time Support,,,Flex Time Support,Dinner Support,,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,Flex Time Coordinator,Variety Show Coordinator,Variety Show Coordinator,Site-office,Dinner Coordinator
5:00,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:05,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:10,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:15,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:20,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:25,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:30,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:35,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:40,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:45,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:50,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
5:55,Time-off,,,,,Time-off,Dinner Support,,,Time-off,,Flex Time Coordinator,Time-off,Time-off,Site-office,Dinner Coordinator
6:00,,,,,,,,,,Time-off,,Games Night Coordinator,Time-off,Time-off,Site-office,Time-off
6:05,,,,,,,,,,Time-off,,Games Night Coordinator,Time-off,Time-off,Site-office,Time-off
6:10,,,,,,,,,,Time-off,,Games Night Coordinator,Time-off,Time-off,Site-office,Time-off
6:15,,,,,,,,,,Time-off,,Games Night Coordinator,Time-off,Time-off,Site-office,Time-off
6:20,,,,,,,,,,Time-off,,Games Night Coordinator,Time-off,Time-off,Site-office,Time-off
6:25,,,,,,,,,,Time-off,,Games Night Coordinator,Time-off,Time-off,Site-office,Time-off
6:30,,,,,,,,,Games Night Accomodations,Games Night Support,Games Night Support,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
6:35,,,,,,,,,Games Night Accomodations,Games Night Support,Games Night Support,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
6:40,,,,,,,,,Games Night Accomodations,Games Night Support,Games Night Support,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
6:45,,,,,,,,,Games Night Accomodations,Games Night Support,Games Night Support,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
6:50,,,,,,,,,Games Night Accomodations,Games Night Support,Games Night Support,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
6:55,,,,,,,,,Games Night Accomodations,Games Night Support,Games Night Support,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:00,,,,,,,,,Games Night Accomodations,Games Night Support,Games Night Support,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:05,,,,,,,,,Games Night Accomodations,Games Night Support,Games Night Support,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:10,,,,,,,,,Games Night Accomodations,Games Night Support,Games Night Support,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:15,,,,,,,,,Games Night Accomodations,Games Night Support,Pizza Night Coordinator,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:20,,,,,,,,,Games Night Accomodations,Games Night Support,Pizza Night Coordinator,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:25,,,,,,,,,Games Night Accomodations,Games Night Support,Pizza Night Coordinator,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:30,,,,,,,,,Games Night Accomodations,Games Night Support,Pizza Night Coordinator,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:35,,,,,,,,,Games Night Accomodations,Games Night Support,Pizza Night Coordinator,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:40,,,,,,,,,Games Night Accomodations,Games Night Support,Pizza Night Coordinator,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:45,,,,,,,,,Games Night Accomodations,Games Night Support,Pizza Night Coordinator,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:50,,,,,,,,,Games Night Accomodations,Games Night Support,Pizza Night Coordinator,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
7:55,,,,,,,,,Games Night Accomodations,Games Night Support,Pizza Night Coordinator,Games Night Coordinator,Games Night Support,Games Night Support,Site-office,Games Night Support
8:00,,,,,,,,,,Time-off,Pizza Night Coordinator,Games Night Coordinator,Pizza Night Support,,Site-office,
8:05,,,,,,,,,,Time-off,Pizza Night Coordinator,Games Night Coordinator,Pizza Night Support,,Site-office,
8:10,,,,,,,,,,Time-off,Pizza Night Coordinator,Games Night Coordinator,Pizza Night Support,,Site-office,
8:15,,,,,,,,,,Time-off,Pizza Night Coordinator,Time-off,Pizza Night Support,,Site-office,
8:20,,,,,,,,,,Time-off,Pizza Night Coordinator,Time-off,Pizza Night Support,,Site-office,
8:25,,,,,,,,,,Time-off,Pizza Night Coordinator,Time-off,Pizza Night Support,,Site-office,
8:30,,,,,,,,,,Time-off,Pizza Night Coordinator,Time-off,Time-off,,Site-office,
8:35,,,,,,,,,,Time-off,Pizza Night Coordinator,Time-off,Time-off,,Site-office,
8:40,,,,,,,,,,Time-off,Pizza Night Coordinator,Time-off,Time-off,,Site-office,
8:45,,,,,,,,,,Time-off,Pizza Night Coordinator,Time-off,Time-off,,Site-office,
8:50,,,,,,,,,,Time-off,Pizza Night Coordinator,Time-off,Time-off,,Site-office,
8:55,,,,,,,,,,Time-off,Pizza Night Coordinator,Time-off,Time-off,,Site-office,
9:00,,,,,,,,,,,,,,,Site-office,
9:05,,,,,,,,,,,,,,,Site-office,
9:10,,,,,,,,,,,,,,,Site-office,
9:15,,,,,,,,,,,,,,,Site-office,
9:20,,,,,,,,,,,,,,,Site-office,
9:25,,,,,,,,,,,,,,,Site-office,
9:30,,,,,,,,,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Site-office,Meeting
9:35,,,,,,,,,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Site-office,Meeting
9:40,,,,,,,,,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Site-office,Meeting
9:45,,,,,,,,,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Site-office,Meeting
9:50,,,,,,,,,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Site-office,Meeting
9:55,,,,,,,,,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Site-office,Meeting
10:00,,,,,,,,,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Site-office,Meeting
10:05,,,,,,,,,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Site-office,Meeting
10:10,,,,,,,,,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Site-office,Meeting
10:15,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out
10:20,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out
10:25,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out,Lights out
Thursday,,,,,,,,,,,,,,,,
6:00,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:05,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:10,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:15,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:20,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:25,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:30,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:35,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:40,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:45,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:50,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
6:55,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,,,
7:00,,,,,,,,,,,,,,,,
7:05,,,,,,,,,,,,,,,,
7:10,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting
7:15,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting
7:20,,,,,,,,,Time-off,,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
7:25,,,,,,,,,Time-off,,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
7:30,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
7:35,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
7:40,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
7:45,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
7:50,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
7:55,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
8:00,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
8:05,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
8:10,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
8:15,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
8:20,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
8:25,,,,,,,,,Time-off,Site-Office,Breakfast Support,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Time-off
8:30,,,,,,,,,,Site-Office,,,,,,
8:35,,,,,,,,,,Site-Office,,,,,,
8:40,,,,,,,,,,Site-Office,,,,,,
8:45,,,,,,,,,,Site-Office,,,,,,
8:50,,,,,,,,,,Site-Office,,,,,,
8:55,,,,,,,,,,Site-Office,,,,,,
9:00,,,,,,,,,,Site-Office,,,Time-off,,,Time-off
9:05,,,,,,,,,,Site-Office,,,Time-off,,,Time-off
9:10,,,,,,,,,,Site-Office,,,Time-off,,,Time-off
9:15,,,,,,,,,,Site-Office,,YM/YW Activity Coordinator,Time-off,,,Time-off
9:20,,,,,,,,,,Site-Office,,YM/YW Activity Coordinator,Time-off,,,Time-off
9:25,,,,,,,,,,Site-Office,,YM/YW Activity Coordinator,Time-off,,,Time-off
9:30,,,,,,,,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
9:35,,,,,,,,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
9:40,,,,,,,,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
9:45,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
9:50,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
9:55,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:00,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:05,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:10,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:15,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:20,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:25,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:30,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:35,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:40,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:45,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:50,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
10:55,YW Activity OR Time Off,,,YW Activity OR Time Off,,YW Activity OR Time Off,YW Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:00,,,,,,,,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:05,,,,,,,,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:10,,,,,,,,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:15,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:20,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:25,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:30,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:35,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:40,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:45,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:50,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
11:55,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
12:00,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
12:05,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
12:10,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
12:15,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
12:20,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
12:25,YM Activity OR Time Off,,,YM Activity OR Time Off,,YM Activity OR Time Off,YM Activity OR Time Off,,YM//YW Activity Support,Site-Office,YM//YW Activity Support,YM/YW Activity Coordinator,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support,YM//YW Activity Support
12:30,,,,Time-off,Variety Show Support,Lunch Support,,,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,,Variety Show Coordinator,Variety Show Coordinator,Site-Office,Lunch Coordinator
12:35,,,,Time-off,Variety Show Support,Lunch Support,,,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,,Variety Show Coordinator,Variety Show Coordinator,Site-Office,Lunch Coordinator
12:40,,,,Time-off,Variety Show Support,Lunch Support,,,Musical Program Coordinator,Musical Program Coordinator,Musical Program Coordinator,,Variety Show Coordinator,Variety Show Coordinator,Site-Office,Lunch Coordinator
